date,avgprcp
2014-03-08,0
2014-03-09,0
2014-03-10,8
2014-03-11,0
2014-03-12,109
2014-03-13,15
2014-03-14,0
2014-03-15,3
2014-03-16,0
2014-03-17,0
2014-03-18,0
2014-03-19,0
2014-03-20,74
2014-03-21,0
2014-03-22,0
2014-03-23,0
2014-03-24,0
2014-03-25,0
2014-03-26,0
2014-03-27,0
2014-03-28,5
2014-03-29,246
2014-03-30,566
2014-03-31,112
2014-04-01,0
2014-04-02,0
2014-04-03,0
2014-04-04,66
2014-04-05,58
2014-04-06,0
2014-04-07,10
2014-04-08,170
2014-04-09,0
2014-04-10,0
2014-04-11,0
2014-04-12,10
2014-04-13,10
2014-04-14,0
2014-04-15,157
2014-04-16,91
2014-04-17,0
2014-04-18,0
2014-04-19,0
2014-04-20,0
2014-04-21,0
2014-04-22,13
2014-04-23,58
2014-04-24,0
2014-04-25,0
2014-04-26,51
2014-04-27,38
2014-04-28,0
2014-04-29,0
2014-04-30,89
2014-05-01,157
2014-05-02,3
2014-05-03,0
2014-05-04,0
2014-05-05,0
2014-05-06,0
2014-05-07,0
2014-05-08,0
2014-05-09,0
2014-05-10,86
2014-05-11,0
2014-05-12,0
2014-05-13,0
2014-05-14,0
2014-05-15,0
2014-05-16,15
2014-05-17,165
2014-05-18,0
2014-05-19,13
2014-05-20,0
2014-05-21,0
2014-05-22,64
2014-05-23,5
2014-05-24,46
2014-05-25,0
2014-05-26,3
2014-05-27,122
2014-05-28,20
2014-05-29,0
2014-05-30,28
2014-05-31,0
2014-06-01,0
2014-06-02,0
2014-06-03,0
2014-06-04,36
2014-06-05,198
2014-06-06,0
2014-06-07,0
2014-06-08,0
2014-06-09,0
2014-06-10,216
2014-06-11,0
2014-06-12,0
2014-06-13,137
2014-06-14,3
2014-06-15,0
2014-06-16,0
2014-06-17,5
2014-06-18,0
2014-06-19,0
2014-06-20,0
2014-06-21,0
2014-06-22,0
2014-06-23,0
2014-06-24,0
2014-06-25,0
2014-06-26,71
2014-06-27,0
2014-06-28,0
2014-06-29,0
2014-06-30,0
2014-07-01,0
2014-07-02,0
2014-07-03,71
2014-07-04,478
2014-07-05,89
2014-07-06,0
2014-07-07,20
2014-07-08,0
2014-07-09,0
2014-07-10,0
2014-07-11,0
2014-07-12,0
2014-07-13,0
2014-07-14,170
2014-07-15,0
2014-07-16,216
2014-07-17,0
2014-07-18,0
2014-07-19,0
2014-07-20,0
2014-07-21,0
2014-07-22,0
2014-07-23,0
2014-07-24,0
2014-07-25,0
2014-07-26,0
2014-07-27,89
2014-07-28,28
2014-07-29,0
2014-07-30,0
2014-07-31,0
2014-08-01,0
2014-08-02,8
2014-08-03,0
2014-08-04,0
2014-08-05,0
2014-08-06,3
2014-08-07,3
2014-08-08,0
2014-08-09,0
2014-08-10,0
2014-08-11,0
2014-08-12,0
2014-08-13,269
2014-08-14,0
2014-08-15,0
2014-08-16,0
2014-08-17,0
2014-08-18,0
2014-08-19,0
2014-08-20,0
2014-08-21,0
2014-08-22,20
2014-08-23,0
2014-08-24,0
2014-08-25,0
2014-08-26,0
2014-08-27,5
2014-08-28,0
2014-08-29,0
2014-08-30,0
2014-08-31,137
2014-09-01,0
2014-09-02,3
2014-09-03,0
2014-09-04,0
2014-09-05,0
2014-09-06,56
2014-09-07,38
2014-09-08,0
2014-09-09,0
2014-09-10,0
2014-09-11,0
2014-09-12,0
2014-09-13,33
2014-09-14,0
2014-09-15,0
2014-09-16,0
2014-09-17,0
2014-09-18,0
2014-09-19,0
2014-09-20,0
2014-09-21,3
2014-09-22,0
2014-09-23,0
2014-09-24,0
2014-09-25,0
2014-09-26,0
2014-09-27,0
2014-09-28,0
2014-09-29,0
2014-09-30,46
2014-10-01,295
2014-10-02,41
2014-10-03,3
2014-10-04,89
2014-10-05,0
2014-10-06,0
2014-10-07,3
2014-10-08,3
2014-10-09,0
2014-10-10,0
2014-10-11,79
2014-10-12,0
2014-10-13,0
2014-10-14,0
2014-10-15,0
2014-10-16,160
2014-10-17,0
2014-10-18,0
2014-10-19,0
2014-10-20,0
2014-10-21,0
2014-10-22,221
2014-10-23,572
2014-10-24,13
2014-10-25,0
2014-10-26,0
2014-10-27,0
2014-10-28,0
2014-10-29,5
2014-10-30,0
2014-10-31,0
2014-11-01,150
2014-11-02,79
2014-11-03,0
2014-11-04,0
2014-11-05,0
2014-11-06,150
2014-11-07,0
2014-11-08,0
2014-11-09,0
2014-11-10,0
2014-11-11,0
2014-11-12,0
2014-11-13,15
2014-11-14,58
2014-11-15,0
2014-11-16,0
2014-11-17,417
2014-11-18,0
2014-11-19,0
2014-11-20,0
2014-11-21,0
2014-11-22,0
2014-11-23,0
2014-11-24,71
2014-11-25,0
2014-11-26,366
2014-11-27,5
2014-11-28,28
2014-11-29,0
2014-11-30,0
2014-12-01,3
2014-12-02,25
2014-12-03,112
2014-12-04,0
2014-12-05,28
2014-12-06,277
2014-12-07,33
2014-12-08,8
2014-12-09,737
2014-12-10,71
2014-12-11,5
2014-12-12,0
2014-12-13,0
2014-12-14,0
2014-12-15,0
2014-12-16,0
2014-12-17,109
2014-12-18,3
2014-12-19,0
2014-12-20,0
2014-12-21,0
2014-12-22,13
2014-12-23,64
2014-12-24,142
2014-12-25,36
2014-12-26,0
2014-12-27,0
2014-12-28,3
2014-12-29,0
2014-12-30,0
2014-12-31,0
2015-02-28,0
2015-03-01,43
2015-03-02,3
2015-03-03,66
2015-03-04,5
2015-03-05,0
2015-03-06,0
2015-03-07,0
2015-03-08,0
2015-03-09,0
2015-03-10,15
2015-03-11,3
2015-03-12,0
2015-03-13,0
2015-03-14,203
